      density       alpha     S_nem     F(iso)     F(nem)     P(iso)     P(nem)     mu(iso)     mu(nem)
157  0.079186    1.766709  0.160910   1.949012   1.932878   0.783358   0.777234   11.841647   11.748172
158  0.079684    1.797344  0.165245   2.011386   1.994750   0.797304   0.790728   12.017210   11.918048
159  0.080182    1.827876  0.169574   2.074079   2.056913   0.811446   0.804395   12.194127   12.089033
160  0.080680    1.858462  0.173915   2.137095   2.119367   0.825785   0.818236   12.372407   12.261108
161  0.081178    1.889265  0.178291   2.200436   2.182114   0.840324   0.832248   12.552061   12.434255
162  0.081676    1.920458  0.182724   2.264103   2.245155   0.855066   0.846432   12.733098   12.608449
163  0.082174    1.952221  0.187239   2.328101   2.308490   0.870011   0.860786   12.915528   12.783658
164  0.082672    1.984760  0.191863   2.392430   2.372120   0.885163   0.875308   13.099360   12.959844
165  0.083170    2.018319  0.196629   2.457095   2.436047   0.900524   0.889995   13.284605   13.136956
166  0.083668    2.053185  0.201575   2.522096   2.500269   0.916096   0.904841   13.471272   13.314930
167  0.084166    2.089724  0.206750   2.587437   2.564786   0.931880   0.919841   13.659371   13.493678
168  0.084664    2.128406  0.212218   2.653119   2.629598   0.947881   0.934986   13.848913   13.673084
169  0.085162    2.169874  0.218063   2.719146   2.694703   0.964099   0.950262   14.039907   13.852984
170  0.085660    2.215054  0.224411   2.785520   2.760097   0.980537   0.965648   14.232364   14.033135
171  0.086158    2.265370  0.231449   2.852244   2.825776   0.997197   0.981114   14.426293   14.213162
172  0.086656    2.323219  0.239495   2.919319   2.891734   1.014082   0.996604   14.621704   14.392426
173  0.087154    2.393317  0.249170   2.986749   2.957957   1.031194   1.012007   14.818608   14.569673
174  0.087652    4.275306  0.462154   3.054535   3.024166   1.048535   0.984154   15.017015   14.252133
175  0.088150    4.575171  0.487467   3.122680   3.087885   1.066109   0.993300   15.216935   14.356181
176  0.088648    4.857659  0.509480   3.191188   3.151498   1.083916   1.003096   15.418378   14.466992
177  0.089146    5.170419  0.531959   3.260059   3.215010   1.101960   1.012461   15.621354   14.572349
178  0.089644    5.591481  0.559410   3.329297   3.278350   1.120243   1.019766   15.825875   14.654080
179  0.090142    8.097921  0.675283   3.398905   3.340885   1.138768   0.989369   16.031949   14.316551
180  0.090640    9.045668  0.705014   3.468884   3.401159   1.157537   0.990946   16.239588   14.333922
181  0.091138    9.591873  0.719842   3.539237   3.461136   1.176552   0.999328   16.448801   14.426134
182  0.091636   10.028206  0.730675   3.609966   3.521027   1.195816   1.009650   16.659600   14.539081
183  0.092134   10.409266  0.739483   3.681075   3.580912   1.215332   1.021030   16.871995   14.662926
184  0.092632   10.756922  0.747036   3.752566   3.640839   1.235102   1.033123   17.085996   14.793818
